Symbol,Description,Category2,Category3,GICS Sector,Market cap,Dividend yield,Price to TTM earnings,Price to TTM sales,Price to book value,Action
A,Agilent Technologies Inc,Common stocks,Large cap,Health Care,"$35,617,948,597 ",0.69%,29.41,5.53,6.88,Analyze
AAL,American Airlines Group Inc,Common stocks,Mid cap,Industrials,"$9,593,334,305 ",0.00%,-4.03,0.28,-1.07,Analyze
AAP,Advance Auto Parts Inc,Common stocks,Large cap,Consumer Discretionary,"$11,148,025,428 ",2.69%,18.24,1.01,3.59,Analyze
AAPL,Apple Inc,Common stocks,Large cap,Information Technology,"$2,360,770,500,660 ",0.61%,23.16,6.12,35.03,Analyze
ABBV,Abbvie Inc,Common stocks,Large cap,Health Care,"$269,413,603,254 ",3.51%,21.55,4.75,16.51,Analyze
ABC,AmerisourceBergen Corp,Common stocks,Large cap,Health Care,"$29,614,027,389 ",1.28%,16.87,0.13,52.95,Analyze
ABMD,Abiomed Inc,Common stocks,Large cap,Health Care,"$11,692,064,689 ",0.00%,51.86,11.33,7.78,Analyze
ABT,Abbott Laboratories,Common stocks,Large cap,Health Care,"$189,627,049,899 ",1.69%,24.07,4.26,5.25,Analyze
ACN,Accenture Plc Class A,Common stocks,Large cap,Information Technology,"$181,124,146,683 ",1.38%,28.28,3.19,8.79,Analyze
ADBE,Adobe Inc,Common stocks,Large cap,Information Technology,"$175,752,720,000 ",0.00%,36.41,10.89,12.76,Analyze
ADI,Analog Devices Inc,Common stocks,Large cap,Information Technology,"$76,957,282,445 ",1.95%,46.86,7.89,2.07,Analyze
ADM,Archer-Daniels-Midland Company,Common stocks,Large cap,Consumer Staples,"$40,993,262,210 ",2.10%,13.31,0.46,1.72,Analyze
ADP,Automatic Data Processing Inc,Common stocks,Large cap,Information Technology,"$88,683,542,898 ",1.89%,30.99,5.62,21.15,Analyze
ADSK,Autodesk Inc,Common stocks,Large cap,Information Technology,"$37,442,519,088 ",0.00%,75.34,8.54,44.1,Analyze
AEE,Ameren Corp,Common stocks,Large cap,Utilities,"$22,599,983,805 ",2.58%,22.29,3.37,2.29,Analyze
AEP,American Electric Power Inc,Common stocks,Large cap,Utilities,"$48,463,163,889 ",3.22%,18.44,2.83,879.55,Analyze
AES,AES Corp,Common stocks,Large cap,Utilities,"$14,071,802,720 ",2.90%,-95.65,1.24,4.59,Analyze
AFL,Aflac Inc,Common stocks,Large cap,Financials,"$35,905,731,348 ",2.60%,8.65,1.69,1.19,Analyze
AIG,American International Group Inc,Common stocks,Large cap,Financials,"$40,496,853,609 ",2.48%,4.12,0.76,0.72,Analyze
AIZ,Assurant Inc,Common stocks,Mid cap,Financials,"$9,363,749,381 ",1.55%,6.97,0.91,1.88,Analyze
AJG,Arthur J Gallagher,Common stocks,Large cap,Financials,"$34,623,407,760 ",1.20%,35.9,4.09,3.85,Analyze
AKAM,Akamai Technologies Inc,Common stocks,Large cap,Information Technology,"$14,320,062,891 ",0.00%,23.28,4.07,3.33,Analyze
ALB,Albemarle Corp,Common stocks,Large cap,Materials,"$22,933,007,347 ",0.80%,81.58,6.32,3.94,Analyze
ALGN,Align Technology Inc,Common stocks,Large cap,Health Care,"$19,621,005,092 ",0.00%,27.79,4.87,5.35,Analyze
ALK,Alaska Air Group Inc,Common stocks,Mid cap,Industrials,"$5,270,638,243 ",0.00%,11.16,0.75,1.43,Analyze
ALL,Allstate Corp,Common stocks,Large cap,Financials,"$35,206,073,234 ",2.57%,9.9,0.7,1.5,Analyze
ALLE,Allegion PLC,Common stocks,Mid cap,Industrials,"$8,509,174,797 ",1.58%,17.91,2.94,11.3,Analyze
AMAT,Applied Material Inc,Common stocks,Large cap,Information Technology,"$77,190,421,888 ",1.37%,11.43,3.11,6.67,Analyze
AMCR,Amcor plc,Common stocks,Large cap,Materials,"$18,724,473,119 ",3.80%,19.54,1.33,4.12,Analyze
AMD,Advanced Micro Devices Inc,Common stocks,Large cap,Information Technology,"$123,741,983,549 ",0.00%,36.47,6.56,2.24,Analyze
AME,Ametek Inc,Common stocks,Large cap,Industrials,"$25,460,137,592 ",0.76%,24.25,4.4,3.65,Analyze
AMGN,Amgen Inc,Common stocks,Large cap,Health Care,"$131,931,357,453 ",2.96%,23.05,5.01,144.03,Analyze
AMP,Ameriprise Finance Inc,Common stocks,Large cap,Financials,"$25,459,374,645 ",1.99%,8.13,1.84,5,Analyze
AMT,American Tower Corporation,REITs,Large cap,Real Estate,"$116,592,201,825 ",2.15%,44.33,11.83,21.78,Analyze
AMZN,Amazon.Com Inc.,Common stocks,Large cap,Consumer Discretionary,"$1,111,204,280,000 ",0.00%,51.89,2.33,8.29,Analyze
ANET,Arista Networks Inc,Common stocks,Large cap,Information Technology,"$30,289,975,244 ",0.00%,32.49,9.59,7.3,Analyze
ANSS,Ansys Inc,Common stocks,Large cap,Information Technology,"$20,755,842,632 ",0.00%,45.8,10.54,4.76,Analyze
AON,Aon Plc,Common stocks,Large cap,Financials,"$57,462,588,525 ",0.77%,41.92,4.66,48.62,Analyze
AOS,A O Smith Corp,Common stocks,Mid cap,Industrials,"$9,064,476,680 ",1.95%,14.17,2.42,3.99,Analyze
APA,Apache Corp,Common stocks,Large cap,Energy,"$10,968,877,121 ",1.04%,4.41,1.25,11.77,Analyze
APD,Air Products And Chemicals Inc,Common stocks,Large cap,Materials,"$51,435,887,731 ",2.67%,22.62,4.52,3.62,Analyze
APH,Amphenol Corp,Common stocks,Large cap,Information Technology,"$38,443,778,175 ",1.15%,22.71,3.36,5.96,Analyze
APTV,Aptiv Plc,Common stocks,Large cap,Consumer Discretionary,"$24,359,399,467 ",0.00%,75.67,1.54,2.89,Analyze
ARE,"Alexandria Real Estate Equities, Inc",REITs,Large cap,Real Estate,"$23,374,435,889 ",3.18%,56.98,10.39,1.36,Analyze
ATO,Atmos Energy Corp,Common stocks,Large cap,Utilities,"$15,548,829,092 ",2.38%,21.29,4.1,1.72,Analyze
ATVI,Activision Blizzard Inc,Common stocks,Large cap,Communication Services,"$59,845,207,867 ",0.61%,24.19,7.21,3.36,Analyze
AVB,"AvalonBay Communities, Inc",REITs,Large cap,Real Estate,"$26,752,818,980 ",3.29%,23.7,11.35,2.43,Analyze
AVGO,Broadcom Inc.,Common stocks,Large cap,Information Technology,"$194,385,726,249 ",4.03%,25.81,6.82,8.45,Analyze
AVY,Avery Dennison Corp,Common stocks,Large cap,Materials,"$13,567,022,905 ",1.68%,18.28,1.56,6.89,Analyze
AWK,American Water Works Inc,Common stocks,Large cap,Utilities,"$26,904,937,446 ",1.65%,20.89,6.93,3.61,Analyze
AXP,American Express,Common stocks,Large cap,Financials,"$104,810,929,492 ",1.36%,13.44,2.33,4.69,Analyze
AZO,Autozone Inc,Common stocks,Large cap,Consumer Discretionary,"$42,065,931,201 ",0.00%,17.59,2.7,-13.51,Analyze
BA,Boeing,Common stocks,Large cap,Industrials,"$87,059,212,826 ",0.00%,-17.44,1.43,-5.53,Analyze
BAC,Bank of America Corp,Common stocks,Large cap,Financials,"$252,663,799,544 ",2.66%,8.4,2.82,0.93,Analyze
BALL,Ball Corporation,Common stocks,Large cap,Materials,"$21,636,915,959 ",1.18%,19.23,1.5,5.55,Analyze
BAX,Baxter International Inc,Common stocks,Large cap,Health Care,"$32,568,234,893 ",1.74%,30.38,2.4,3.54,Analyze
BBWI,"Bath & Body Works, Inc.",Common stocks,Mid cap,Consumer Discretionary,"$6,141,549,786 ",2.59%,5.17,0.65,-4.13,Analyze
BBY,Best Buy Inc,Common stocks,Large cap,Consumer Discretionary,"$15,856,359,221 ",4.42%,9.33,0,5.32,Analyze
BDX,Becton Dickinson,Common stocks,Large cap,Health Care,"$67,537,511,903 ",1.42%,36.68,3.37,2.74,Analyze
BEN,Franklin Resources Inc,Common stocks,Large cap,Financials,"$12,013,177,252 ",4.71%,6.38,1.39,1.04,Analyze
BF,Brown Forman Inc Class B,Common stocks,Large cap,Consumer Staples,"$33,289,720,724 ",1.21%,26.94,8.88,8.63,Analyze
BIIB,Biogen Inc,Common stocks,Large cap,Health Care,"$31,572,124,963 ",0.00%,21.78,2.92,2.81,Analyze
BIO,Bio Rad Laboratories Inc Class A,Common stocks,Large cap,Health Care,"$14,967,179,102 ",0.00%,-122.8,5.17,1.22,Analyze
BK,Bank Of New York Mellon Corp,Common stocks,Large cap,Financials,"$33,741,732,610 ",3.22%,9.83,2.16,0.8,Analyze
BKNG,Booking Holdings Inc,Common stocks,Large cap,Consumer Discretionary,"$70,613,374,742 ",0.00%,135.8,5.64,16.15,Analyze
BKR,Baker Hughes Company Class A,Common stocks,Large cap,Energy,"$28,458,747,600 ",1.29%,88.45,1.38,1.72,Analyze
BLK,Blackrock Inc,Common stocks,Large cap,Financials,"$91,400,398,709 ",2.96%,14.72,4.65,2.41,Analyze
BMY,Bristol Myers Squibb,Common stocks,Large cap,Health Care,"$159,701,110,968 ",2.78%,25.38,3.4,5.02,Analyze
BR,Broadridge Financial Solutions Inc,Common stocks,Large cap,Information Technology,"$17,125,667,887 ",1.74%,31.02,3.1,9.39,Analyze
BRK,Berkshire Hathaway Inc. Class B,Common stocks,Large cap,Financials,"$612,090,789,643 ",0.00%,4.32,1.72,0.7,Analyze
BRO,Brown & Brown Inc,Common stocks,Large cap,Financials,"$16,665,395,499 ",0.68%,27.35,5.31,3.83,Analyze
BSX,Boston Scientific Corp,Common stocks,Large cap,Health Care,"$52,722,585,819 ",0.00%,69.81,4.34,3.14,Analyze
BWA,BorgWarner Inc,Common stocks,Mid cap,Consumer Discretionary,"$8,267,728,488 ",1.96%,11.98,0.56,1.14,Analyze
BXP,"Boston Properties, Inc",REITs,Large cap,Real Estate,"$13,789,105,422 ",4.39%,24.78,4.71,2.32,Analyze
C,Citigroup Inc,Common stocks,Large cap,Financials,"$91,378,668,498 ",4.36%,5.25,1.28,0.46,Analyze
CAG,Conagra Brands Inc,Common stocks,Large cap,Consumer Staples,"$17,083,559,078 ",3.46%,16.51,1.5,1.95,Analyze
CAH,Cardinal Health Inc,Common stocks,Large cap,Health Care,"$14,493,135,658 ",3.65%,-15.09,0.08,-20.68,Analyze
CARR,Carrier Global Corporation,Common stocks,Large cap,Industrials,"$30,646,974,500 ",1.57%,11.4,1.49,4.27,Analyze
CAT,Caterpillar Inc,Common stocks,Large cap,Industrials,"$93,064,800,740 ",2.53%,14.28,1.77,5.43,Analyze
CB,Chubb Ltd,Common stocks,Large cap,Financials,"$81,310,211,711 ",1.67%,9.8,2,1.42,Analyze
CBOE,"Cboe Global Markets, Inc.",Common stocks,Large cap,Financials,"$12,755,371,028 ",1.59%,25.07,3.69,3.51,Analyze
CBRE,CBRE Group Inc,Common stocks,Large cap,Real Estate,"$25,024,444,014 ",0.00%,12.53,0.86,2.9,Analyze
CCI,Crown Castle International Corp.,REITs,Large cap,Real Estate,"$74,022,435,208 ",3.32%,50.73,11.22,9.21,Analyze
CCL,Carnival Corp,Common stocks,Large cap,Consumer Discretionary,"$10,079,428,846 ",0.00%,-0.95,2.88,0.87,Analyze
CDAY,Ceridian HCM Holding Inc.,Common stocks,Mid cap,Information Technology,"$7,415,485,890 ",0.00%,-88.5,6.85,3.46,Analyze
CDNS,Cadence Design Systems Inc,Common stocks,Large cap,Information technology,"$42,527,552,980 ",0.00%,57.15,13.48,15.41,Analyze
CDW,CDW Corp,Common stocks,Large cap,Information Technology,"$21,375,306,904 ",1.20%,21.24,0.97,23.93,Analyze
CE,Celanese Corporation,Common stocks,Large cap,Materials,"$12,093,773,672 ",2.42%,5.66,1.3,2.54,Analyze
CEG,Constellation Energy Corporation,Common stocks,Large cap,Utilities,"$19,350,378,039 ",0.48%,-30.91,0.92,1.74,Analyze
CF,CF Industries Holdings Inc,Common stocks,Large cap,Materials,"$17,816,672,905 ",1.51%,10.82,2.13,4.46,Analyze
CFG,Citizens Financial Group Inc,Common stocks,Large cap,Financials,"$17,865,783,950 ",4.27%,8.7,2.69,0.79,Analyze
CHD,Church And Dwight Inc,Common stocks,Large cap,Consumer Staples,"$22,987,997,826 ",1.08%,28.75,4.38,6.85,Analyze
CHRW,"C.H. Robinson Worldwide, Inc.",Common stocks,Large cap,Industrials,"$12,333,363,275 ",2.21%,13.1,0.49,5.89,Analyze
